id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15713786,Cozy apt above metro st. in the center of Athens,101493772,Μαρία,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.988725294721995,23.721046310764144,Entire home/apt,27,1,5,2017-02-17,0.85,1,283
7964139,Metaxourghio Boutique Apartment,29795728,Alkis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9868694360687,23.719707740957595,Entire home/apt,35,2,79,2017-05-05,3.79,5,327
18499262,Athens Center D3,34981181,George & Panagiota,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98564340641154,23.721289679082165,Entire home/apt,55,2,0,,,2,286
15484730,2x Big Apartments 2 Min from Metro,7186279,Nick,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98948106975974,23.728923207787865,Entire home/apt,150,1,1,2016-12-10,0.20,12,323
8767366,Nostalgia apartment in the center,4781938,Souzanna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.989755980777325,23.724437118781967,Entire home/apt,32,1,48,2017-05-07,4.22,1,322
5326783,"",27599920,Andreas,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98425737605832,23.717474663986433,Entire home/apt,50,5,2,2017-04-09,0.26,1,172
13600721,1private rooms in 170sq m apartment,13052410,Thomas,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.990416547099244,23.728971321989754,Private room,19,2,0,,,2,364
11864027,Artist flat in the heart of Athens,14823311,Liva,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98674775691013,23.725595227881616,Entire home/apt,25,1,1,2016-07-27,0.10,1,250
11258897,Epiru Art Space / Private Room,27036210,Ioannis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99090197363303,23.72887535370833,Private room,18,1,1,2017-01-20,0.27,1,75
16582770,DeLuxe100sq.AcropolisView2,108824021,Dimitri,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.982648291041514,23.718663165055187,Entire home/apt,85,2,6,2017-04-13,1.53,6,282
7129272,"The real deal, central and homey...",37339986,Litsa,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.991132534397615,23.72633361318662,Entire home/apt,33,2,63,2017-05-05,2.85,1,332
13633909,"Based in CentralAthens,perfect for every traveller",74730342,Αλεξάνδρα(Alexandra),,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98865431244078,23.725875093899347,Private room,26,1,34,2017-04-10,3.26,6,364
